start	end	text
238940	243980	e questo è quello che viene chiamato le percezioni,
244280	245320	quello che noi percepiamo.
245500	246380	Tutto il resto,
246380	250400	quindi le altre tre rappresentazioni,
250580	252380	concetti, assezioni e proposizioni
252380	253700	sono nella parte linguistica.
255900	258220	Come vedremo tra cinque minuti,
258940	259720	fino adesso
259720	263020	e nei corsi di logica
263020	266400	vi hanno fatto un sacco di linguaggi,
267160	268340	che avete visto in fatti,
268440	269300	tipo di Armore,
269840	271140	di OML, quello che volete,
271780	274360	ma non sempre dato da sintassi più o meno precisamente,
274360	276320	ma non vi hanno mai dato la semantica.
279220	280700	Quindi vi hanno detto più o meno,
281000	281680	in ogni modo,
281780	282740	quella roba di voi le proprietà,
282820	284840	ma non avendovi dato la semantica,
285580	287280	non potevano e non potranno mai
287280	290000	dimostrare che un certo calcolo,
290120	291000	un certo algoritmo
291000	293880	è corretto rispetto a quello che hai visto.
294920	296180	Quindi l'elemento di nuovo
296180	297280	che vi porto in questo corso
297280	298260	vi diamo un meccanismo
298260	299220	per formalizzare
299220	302380	la semantica, così chiamata,
302380	304220	le rappresentazioni analogiche,
304360	305340	tramite questi oggetti
305340	306620	di presenti percezioni
306620	307980	e sulla base di quello
307980	309280	non solo vi darò le regole
309280	311300	come sopprima per calcolare alfa,
311660	312280	ma dimostreremo
312280	313480	che sono le corrette e completi.
314260	314780	Ovvero sia,
314900	315920	se quella tua memoria
315920	317560	è corretta,
317720	318560	sei garantito
318560	320160	che quello che deduci
320160	321040	è corretto.
321520	322040	Non solo,
322560	323320	sei garantito,
323580	324540	su certi ipotesi,
324620	325260	su certi calcoli
325260	326300	molto costosi,
326440	328020	in quel dita computazionale,
328300	329760	che sei completo.
329760	330280	Ovvero sia,
330320	330900	non ti dimentichi
330900	331620	la generabilità.
332400	332800	È chiaro?
332800	334940	qui dove stiamo andando.
335880	336880	La cosa interessante,
338760	339860	quindi di fatto,
340060	340660	adesso noi,
341240	342380	in questo corso vi do,
343220	343900	in questo corso,
343980	344480	in questa lezione,
344580	345400	la panoramica
345400	346320	da arrivare al mondo
346320	347060	a qua in cima,
347580	348680	questa è la rappresentazione
348680	349460	che vi ricordate
349460	349860	che ho messo
349860	350700	in la lezione precedente
350700	351080	dicendo
351080	352300	tutto questo è mentale,
352720	353440	noi ci dobbiamo dare
353440	354080	dei linguaggi
354080	355000	di rappresentazione
355000	355600	che ci mappano
355600	356260	questo processo,
356360	356940	esattamente quello
356940	357600	che dobbiamo fare
357600	358060	ed è quello
358060	358780	che facciamo adesso.
358780	359920	in questa lezione
359920	362180	proverò a raccontarvi
362180	363640	usando il concetto
363640	364420	di piramide,
364840	365880	vedremo anche poi
365880	367380	dove mai,
369660	370520	in che modo
370520	371240	il processo
371240	372520	di formalizzazione
372520	373340	logica
373340	375560	si struttura
375560	378240	garantendo in ogni passo
378240	379260	la qualità
379260	380120	e la competenza
380120	382160	del ragionamento,
382260	382500	ossia
382500	383200	della capacità
383200	383620	di dire
383620	390660	ok,
391760	393480	sono un po'
393520	394060	di piramidi
394060	394860	da fare adesso,
395720	396640	questa piramide
396640	397180	la prima
397180	398180	è stata fatta
398180	400800	da un
400800	403220	famoso
403220	405800	detesista
405800	407960	dell'89
407960	411860	e l'ho fatta
411860	413600	e l'ho messa
413600	414160	anche se
414160	414720	potevamo farla
414720	415040	meno
415040	416760	perché in qualche
416760	417240	maniera
417240	418360	si mappa
418360	419400	sui termini
419400	420600	che noi conosciamo
420600	421000	ovviamente
421000	421340	questa
421340	422040	Wilton qui
422040	422900	non si sa bene
422900	423340	che cos'è
423340	423880	infatti se uno
423880	424420	legge il tempo
424420	424920	non si viene
424920	425260	cos'è
425260	426420	ma i dati
426420	427580	in qualche
427580	428060	maniera
428060	429400	lo capiamo
429400	430860	lui ha detto
430860	431360	quando tu fai
431360	431700	un sistema
431700	432440	informativo
432440	435840	di avere i dati
435840	439480	i dati
439480	439840	portano
439840	440760	informazione
440760	442360	è interessante
442360	442680	lui fa
442680	443020	information
443020	443600	systems
443600	443960	quindi
443960	444780	lui dice
444780	445160	i dati
445160	445640	da soli
445640	446140	non portano
446140	446780	informazione
446780	448200	i dati
448200	448700	connessi
448700	448880	danno
448880	449600	informazione
449600	450880	in realtà
450880	451580	se ci pensate
451580	451840	bene
451840	452500	i dati
452500	453040	in qualche
453040	453280	maniera
453280	453860	sono simili
453860	454100	a quello
454100	454280	che è
454280	454480	Marco
454480	454760	per
454760	455080	certi
455080	455300	perché
455300	456220	il dato
456220	457120	vuol dire
457120	457420	che c'è
457420	458020	stato dato
458020	460180	l'informazione
460180	460560	in qualche
460560	460900	maniera
460900	461580	l'informazione
461580	461900	che hai
461900	462280	sui vari
462280	462760	dati
462760	464380	la conoscenza
464380	465340	è la conoscenza
465340	466140	che tu sai
466140	466820	e lui
466820	467020	su
467020	467420	iso
467420	467940	si è un po'
467940	468420	applicato
468420	468980	sui denti
468980	469240	in realtà
469240	469840	non si capisce
469840	471720	cosa vuol dire
471720	472240	noi qui
472240	472800	in qualche maniera
472800	473360	lo tradiciamo
473360	474260	come la capacità
474260	475300	di ragionare
475300	476040	su quello che sai
476040	476960	e quello che non sai
476960	478200	e di fare la scelta giusta
478200	479440	se guardate il vocabolario
479440	480680	wisdom
480680	481820	ha questo significato
481820	482060	di
482060	483320	si dice
483320	483720	i vecchi
483720	484400	se non saggi
484400	486520	perché sono
486520	487280	una scelta giusta
487280	487620	quindi
487620	488900	c'è una capacità
488900	489780	poi è chiaramente
489780	491100	molto discutibile
491100	492460	anzi direi
492460	493080	che è abbastanza
493080	493600	sbagliato
493600	494560	assumere che la wisdom
494560	495160	non la sardietta
495160	495580	se è solo
495580	496180	ragionamento
496180	496400	ma
496400	497700	in questo contesto
497700	498160	ci va bene
498160	498380	comunque
498380	499320	il punto fondamentale
499320	499880	volevo dire
499880	500260	che
500260	501520	le quattro
501520	502720	di questa slide qui
502720	503880	e poi qui potete leggere
503880	504540	i dettagli
504540	506240	i quattro livelli
506240	507460	che io
507460	510700	vi ho rappresentato
510700	511360	per fasi
511360	512280	del ragionamento umano
512280	512840	in realtà
512840	513460	si mappano
513460	514680	abbastanza naturalmente
514680	516480	sui quattro concetti
516480	517120	che noi facciamo
517120	517580	quando facciamo
517580	518040	dei tavei
518040	518320	sistemi
518320	519020	informativi
519020	519360	e anche
519360	519840	intelligenza
519840	520380	che facciamo
520380	522320	e in effetti
522320	523260	in questo corso
523260	524020	noi andremo avanti
524020	524820	in parallelo
524820	525260	a fare
525260	526080	la logica
526080	526740	come moderazione
526740	527500	del ragionamento
527500	528540	ma in tutte le
528540	529320	esercitazioni
529320	530720	vedremo come
530720	531860	a cominciare
531860	532580	anche da oggi
532580	534520	in maniera minima
534520	535780	come tutto quello
535780	536680	che noi formalizziamo
536680	537180	in logica
537180	537600	in realtà
537600	539620	ha una controparte
539620	540620	in quello che avete
540620	541020	già visto
541020	541380	e in questa
541380	541580	metà
541580	542300	già visto in parte
542300	543220	anche la comprensione
543220	550520	è questo
550520	551140	che lo volesse
551140	551580	uno
551580	553600	questa
553600	554380	è quella
554380	554960	di prima
554960	555480	è la
555480	556040	di
556040	557240	di
557240	557900	KVB
557900	558220	che è
558220	558360	carica
558360	559160	di prima
559160	561220	se la guarda
561220	562620	quella
562620	563540	slide precedente
563540	564040	che vi ho fatto
564040	564580	vedere
564580	566140	ci sono i
566140	566880	percetti
566880	568520	ci sono i
568520	569160	concetti
569160	569700	i concettori
569700	570420	le azioni
570420	571700	le azioni
571700	572240	le azioni
572240	573800	sono le proposizioni
573800	574800	allora uno dice
574800	575200	ma perché
575200	576280	hai messo i dati fuori
576280	577220	hai messo i dati fuori
577220	577660	perché
577660	579260	in qualche maniera
579260	579940	lui probabilmente
579940	580480	dal sistema
580480	582360	informatico
582360	583120	se non gli dati
583120	583460	c'era meglio
583460	585380	ma pensate bene
585380	586960	cos'è la percezione
586960	587520	la percezione
587520	588100	non è altro
588100	588700	che il processo
588700	589660	tale per cui
589660	591220	l'informazione esterna
591220	593260	ne arriva in testa
593260	594840	quindi la percezione
594840	596460	è quel qualcosa
596460	597780	che prende i dati
597780	598620	e riporta
598620	600660	su una presentazione
600660	603440	analogico
603440	604280	come l'abbiamo chiamata
604280	604620	e poi
604620	606280	i concetti
606280	606700	i concetti
606700	606720	e i concetti
606720	607160	e le azioni
607160	607940	io dieci minuti
607940	608220	fa
608220	609860	ve l'ho presentato
609860	610320	come
610320	611680	il fatto
611680	612900	di collegare
612900	613760	non mettere più
613760	614700	non dire solamente
614700	616280	ho visto una persona
616280	617120	ma ho visto una persona
617120	618600	vicino a un'altra persona
618600	620020	e queste informazioni
620020	621360	il concetto
621360	621820	di concetti
621820	622520	e le azioni
622520	623840	che è il concetto
623840	625040	di legare le parole
625040	626020	per scrivere cose
626020	626700	vero o false
626700	627360	è molto
627360	628420	è essenzialmente
628420	628680	un concetto
628680	629480	di informazione
629480	631980	la conoscenza
631980	632960	è quella che sappiamo
632960	633720	e io l'ho chiamata
633720	634860	con insieme di azioni
634860	636860	lui ha questo termine
636860	637340	wisdom
637340	638100	che io dico
638100	638740	è la capacità
638740	639600	di dare un giudizio
639600	640120	di valore
640120	640580	magari
640580	641900	nel caso di legare
641900	642700	non è solamente
642700	643560	vero o false
643560	644220	ma non ci basta
644220	644880	per i momenti
644880	645460	poi ovviamente
645460	646240	non può entrare
646240	647340	a far entrare
647340	648060	quello che vuole
648060	648840	nel GLLM
648840	650060	c'è l'intero infinito
650060	651560	sul value alignment
651560	652620	tra GLLM
652620	653020	e gli umani
653020	654780	però in questo contesto
654780	656020	in questo contesto
656020	656700	per noi
656700	658100	la saggezza
658100	659080	è la capacità
659080	659620	di fare
659620	661400	un giudizio
661400	662120	un giudimento
662120	663120	di valore di verità
663120	664100	su una sezione
664100	664920	che ci viene detta
664920	665640	sul mondo
665640	668460	ma la nostra conoscenza
668460	669960	può modificare
669960	671440	la percezione?
672200	672720	sempre
672720	675000	tu vedi solo quello
675000	675520	che ti aspetti
675520	676100	c'è un sacco
676100	678020	in realtà
678020	678740	è esattamente
678740	681320	quello che succede sempre
681320	681840	c'è un sacco
681840	682400	di evidenza
682400	683360	psicologica
683360	684300	noi vediamo
684300	684960	quello che ci aspetti
684960	686880	e anche il motivo
686880	687480	per cui la gente
687480	688260	fa fatica
688260	689080	a cambiare l'opinione
689080	693320	è un attivista
693320	693680	che dice
693680	695500	è un fatto
695500	696100	poi un po'
696620	696920	cioè
696920	697400	la
697400	699820	faccio un esempio
699820	701160	se tu entri in casa
701160	701580	in casa
701580	702660	ci sono i tuoi genitori
702660	703200	i tuoi paresi
703200	703780	che tu ne metti
703780	704280	chiunque
704280	705500	e tu vedi
705500	706580	un'ombra a muoversi
706580	707440	cosa vedi?
707540	708100	vedi uno
708100	708880	che non è mai visto
708880	709320	in casa
709320	710420	o vedi esattamente
710420	711100	quello che ti aspetti
711100	711580	che ti sia
711580	712400	ti fa su un'ombra
712400	716360	è chiaro
716360	717460	che la memoria
717460	718400	ti crea un prior
718400	719120	fortissimo
719120	721000	ed è il motivo
721000	721480	per cui
721480	722120	chi fa
722120	723620	l'LMII
723620	724820	o anche
724820	725300	chi fa
725300	726100	sistemi
726100	726700	di treni
726700	727460	o comunque cosa
727460	729240	riesce a farlo bene
729240	729580	perché
729580	731280	una volta
731280	732420	ci vedi
732420	733020	la seconda volta
733020	733560	poi dieci volte
733560	734120	l'LMII
734120	735340	certo
735340	736480	potreste andare in casa
736480	737180	e vedere un'ombra
737180	737860	che è del lago
737860	738500	però voglio dire
738500	740680	è uno su centomila
740680	743080	quindi è più
743080	744160	un cerchio
744160	745080	più che una piramide
745080	746120	è l'altro
746120	746640	infatti
746640	747200	è l'altro
747200	749220	infatti
749220	750020	non è esattamente
750020	750680	uno su di questo
750680	750720	ma
750720	751120	non è scritto
751120	751460	niente
751460	751740	mezzo
751740	751900	ma
751900	753640	soltanto che
753640	754660	se tu lo vedi
754660	755880	come vediamo
755880	756260	perché
756260	756880	l'abbiamo messa
756880	757500	una piramide
757500	757900	perché
757900	759220	la piramide
759220	760100	è più
760100	760480	non mi sa
760480	760900	pronunterà
760900	761400	perché in realtà
761400	762040	sale
762040	762520	il livello
762520	763180	di assenzione
763180	766200	più sali
766200	767140	e più
767140	767540	ti allontani
767540	768040	dalla realtà
768040	769080	e vedremo
769080	770880	a fine lezione
770880	772320	che a questo livello
772320	772640	qui
772640	773280	non c'è più
773280	773660	la realtà
773660	774040	c'è solo
774040	774660	vero e falso
774660	775980	come ho detto
775980	776680	la volta scorsa
776680	777540	nel ragionamento
777540	778320	come lo formalizziamo
778320	779000	in logica
779000	780520	dove il mondo
780520	781080	non c'è più
781080	782440	l'importante
782440	782740	è solamente
782740	783260	mettere insieme
783260	784460	i valori di verità
784460	785780	quindi
785780	786600	la piramide
786600	787020	vuol dire
787020	787940	stiamo alzando
787940	789780	stiamo dando struttura
789780	792960	a quello che vediamo
792960	794040	e tanto più
794040	795000	diamo struttura
795000	795800	e più creiamo
795800	796340	dei prior
796340	797520	e più creiamo
797520	798120	dei prior
798120	799620	e più influenziamo
799620	800840	quello che
800840	804260	quello che andremo a vedere dopo
804260	804900	ed è il motivo
804900	806080	tutte queste storie qui
806080	806500	per cui
806500	807660	è sempre difficile
807660	808260	dal punto di vista
808260	809680	anche sociale
809680	810440	sociologico
810440	811660	accettare cose diverse
811660	812020	da te
812020	812740	perché semplicemente
812740	813760	la mente
813760	815340	non è allenata
815340	817340	magari un fa una cosa diversa
817340	817860	non fa male
817860	819000	no magari un fa una cosa diversa
819000	819320	da te
819320	819700	ma tu
819700	820860	non riesci a capire
820860	821580	cosa sta facendo
821580	823420	non hai il traio pronto
823420	825140	ok
825140	829140	qui ho detto appunto
829140	829940	che ho spittato
829940	830660	questa lava qui
830660	831260	perché io
831260	831960	il dato
831960	833860	lo intendo
833860	834940	come il dato
834940	837380	come nella mia testa
837380	838800	facendo questa falsa qui
838800	839380	e io il mondo
839380	840020	non ce l'ho più
840020	841000	ok
841000	842940	e perché il mondo
842940	843460	non ce l'ho più
843460	843920	mi aiuta
843920	844800	perché a questo punto
844800	845220	io
845220	846320	se riesco a darvi
846320	847220	come riuscirò a darvi
847220	848480	una formalizzazione
848480	849360	di questo concetto
849360	849820	dipendente
849820	850580	dell'interno del mondo
850580	851660	posso darti
851660	852680	una definizione
852680	853460	di correttezza
853460	854360	io facciami una domanda
854360	856280	ma la concettualizzazione qua
856280	857360	mi descrive questo
857360	857920	sì o no
857920	858600	posso farlo
858600	858920	lo farò
858920	859940	farò esattamente questo
859940	861160	questo calcolo
861160	861720	mi permette
861720	862520	di descrivere
862520	862900	una cosa
862900	864160	sì lo faccio
864160	864860	questo diventa
864860	865480	un formalismo
865480	866460	facendo questo
866460	868060	ho un formalismo formale
868060	868900	tale per cui
868900	869880	io posso
869880	871460	calcolare
871460	872040	la correttezza
872040	873500	questa è la completezza
873500	874640	o qualunque altra
874640	875620	priorità di consistenza
875620	876420	le vediamo varie
876420	877340	ce ne sono varie
877340	878580	rispetto
878580	880500	al mio formaggio
880500	880920	di video
880920	883640	e infatti
883640	884800	queste
884800	886020	dalla slide
886020	886980	precedente
886980	887500	la seconda
887500	888100	che vi ho fatto vedere
888100	888700	sono le quattro
888700	889060	attività
889060	889820	lottate bene
889820	890740	che
890740	893880	sono messe
893880	894560	un po' più basse
894560	894980	cioè
894980	897040	la percezione
897040	897540	prende
897540	897840	i input
897840	898480	i dati
898480	899840	e produce
899840	900920	i percetti
900920	902160	ok
902160	904020	poi
904020	904720	infatti i percetti
904720	905180	nel mondo
905180	905840	c'ho questa roba
905840	906280	nella mia
906280	907880	memoria
907880	909280	subconscia
909280	911720	gli do un nome
911720	913260	mi vediamo
913260	913900	un po' un secondo
913900	914880	e poi compongo
914880	916420	poi
916420	917540	dopo che li ho composti
917540	917980	prendo
917980	919440	le mie costruzioni
919440	920000	linguistiche
920000	921160	e li metto
921160	921720	in memoria
921720	922960	però devo collegarli
922960	923860	con quelli che ci sono
923860	925120	quindi
925120	926020	in ogni passo
926020	927200	la mia attività
927200	928820	prende in output
928820	929540	in input
929540	931540	le strutture dati
931540	932100	delle rappresentazioni
932100	932440	del mondo
932440	933400	a livello precedente
933400	934500	le sale
934500	936140	qui abbiamo immagini
936140	937360	qui dobbiamo rappresentare
937360	938260	abbiamo immagini
938260	939040	nel mondo reale
939040	939460	dobbiamo avere
939460	939960	un formalismo
939960	940420	che ci permette
940420	940920	di rappresentare
940920	941820	le immagini
941820	942880	qui abbiamo linguaggio
942880	944320	qui abbiamo la memoria
944320	945720	qui abbiamo proposizioni
945720	946360	in ogni passo
946360	946900	tu devi
946900	948040	riuscire
948040	949380	a questa funzione
949380	950640	che formalizzeremo
950640	951560	tutti questi passi
951560	952160	li formalizziamo
952160	952960	matematicamente
952960	953920	è chiaro?
954060	954300	quindi
954300	955660	la logica
955660	956360	a questo punto
956360	956900	ve la posto
956900	957680	la vedremo adesso
957680	958520	e l'altro non è
958520	959260	che facendo
959260	960320	questa ipotesi
960320	961560	che ho fatto adesso
961560	962200	voglio sia
962200	963480	di darmi
963480	965860	un formalismo
965860	967060	per formalizzare
967060	969060	quello che io percepisco
969060	971240	io da qui in poi
971240	971960	faccio tutta
971960	972600	faccio tutta
972600	973300	matematica
973300	974880	e data
974880	975780	questa percezione
975780	976980	posso costruire
976980	978140	teori di competenza
978140	978900	competenza
978900	980280	è la
980280	981240	capacità
981240	981980	computazionale
981980	982520	questo
982520	983200	è quello
983200	983580	che si chiama
983580	984200	semantico
984200	988220	l'elemento
988220	988720	nuovo
988720	989360	della logica
989360	990040	di fatto
990040	990560	è un altro
990560	991600	di darti
991600	992140	una semantica
992140	992520	formale
992520	993060	tutto quello
993060	993640	che avete fatto
993640	994160	fino ad adesso
994160	995000	lo rifacciamo
995000	995940	lo rifacciamo
995940	996520	in un formalismo
996520	997460	leggermente diverso
997460	997640	ma
997640	998660	a esercitazione
998660	999060	vedrete
999060	999580	che di fatto
999580	1000140	stiamo facendo
1000140	1000940	la stessa cosa
1000940	1004420	con la differenza
1004420	1005240	che per ognuno
1005240	1006180	di questi passi
1006180	1007320	dimostreremo
1007320	1007840	che il passo
1007840	1008840	che facciamo sopra
1008840	1010160	mi mantiene
1010160	1011800	la semantica
1011800	1012600	di quello che vedo
1012600	1013140	se qui
1013140	1013840	una cosa
1013840	1014580	era così
1014580	1015320	qua sopra
1015320	1016740	se deduco
1016740	1017400	nuovi fatti
1017400	1018020	non posso
1018020	1018400	che essere
1018400	1018960	fatti veri
1018960	1019780	in un'altra descrizione
1019780	1021180	ok
1021180	1028800	e poi c'era di qui
1028800	1030980	cos'è che ho aggiunto adesso
1030980	1032380	ho aggiunto il fatto
1032380	1033760	che io
1033760	1034720	dal primo
1034720	1035520	dall'elemento
1035520	1036340	dei dati
1036340	1037420	percepisco
1037420	1038140	i percetti
1038140	1039080	ma poi dopo
1039080	1040400	mettendo vicino
1040400	1040700	faccio
1040700	1041960	delle precisioni complesse
1041960	1043140	qua prendo
1043140	1045240	delle concettualizzazioni
1045240	1045860	facciamo
1045860	1046260	delle
1046260	1047480	linguistiche
1047480	1048320	ma qui le metti insieme
1048320	1049060	con la memoria
1049060	1050040	queste qua
1050040	1050640	con la memoria
1050640	1051000	oggettivo
1051000	1051600	vero o falso
1051600	1052460	poi le metti insieme
1052460	1053180	con quello che è solo
1053180	1053780	vero o falso
1053780	1054780	quindi in ogni passo
1054780	1056160	c'è sempre un passo
1056160	1057000	di lifting
1057000	1057880	all'elemento
1057880	1058660	più alto
1058660	1060120	e poi ad ogni livello
1060120	1060840	dell'operazione
1060840	1062520	quella roba
1062520	1063400	lì che vi ho dato
1063400	1065380	altro non è che
1065380	1066500	è un'operazione matematica
1066500	1066800	non è quella
1066800	1067200	che l'avete visto
1067200	1067840	cento volte
1067840	1069380	giusto no?
1069760	1070420	l'evenness
1070420	1071180	degli algoritmi
1071180	1071600	è quello
1071600	1072160	l'evenness
1072160	1072760	degli algoritmi
1072760	1073400	sta qua
1073400	1075960	infatti
1075960	1076700	esiste un teorema
1076700	1077120	che dice
1077120	1077960	hai dato qualunque
1077960	1078520	algoritmo
1078520	1078980	esiste
1078980	1080220	una deduzione logica
1080220	1081240	che deduce
1081240	1081740	essere no
1081740	1083380	ok?
1084760	1086120	quindi quello che voi avete
1086120	1087460	quando voi avete fatto
1087460	1088700	gear model
1088700	1089260	e così via
1089260	1090260	che cos'è che vi hanno dato?
1090760	1091440	vi hanno dato
1091440	1092700	tutte queste
1092700	1093580	formule
1093580	1095080	tutte queste
1095080	1096200	rappresentazioni
1096200	1096820	intermedie
1096820	1099860	non vi hanno detta
1099860	1100300	che cosa
1100300	1101160	scrivevano
1101160	1101940	e poi vi hanno detto
1101940	1102600	ah sì certo
1102600	1102900	pronto
1102900	1103560	di gear model
1103560	1104080	lo prendi
1104080	1104840	lo fai diventare
1104840	1105620	una class
1105620	1105960	dire
1105960	1106840	lo fai diventare
1106840	1107940	una classe
1107940	1108420	un oggetto
1108420	1108900	e così via
1108900	1109920	e poi fai
1109920	1110780	le decisioni
1110780	1112460	quello è
1112460	1114180	ok?
1117180	1117780	infatti
1117780	1118500	questa la chiama
1118500	1119240	la penale
1119240	1120080	della conoscenza
1120080	1122560	che è esattamente
1122560	1123240	quella di prima
1123240	1123740	dove è proprio
1123740	1124820	messa in evidenza
1124820	1125540	sulla piramide
1125540	1126260	dove la piramide
1126260	1126940	ha più significato
1126940	1127840	di una illustrazione
1127840	1128820	la percezione
1128820	1131200	ci sono i dati
1131200	1131780	nel mondo
1131780	1133380	i dati nel mondo
1133380	1134700	sono tantissimi
1134700	1135020	e noi
1135020	1135640	quello che facciamo
1135640	1136140	con la vista
1136140	1136860	ne scegliamo un po'
1136980	1138520	quelli che ci interessano
1138520	1139480	li seleziamo
1139480	1140560	e ci facciamo questi dati
1140560	1141940	questi dati selezionati
1141940	1143360	li applichiamo alla vista
1143360	1144200	e diventano
1144200	1145760	elementi della mia memoria
1145760	1147240	subconscia
1147240	1147940	li prendo
1147940	1148860	li faccio diventare
1148860	1149680	parole
1149680	1152340	la parole
1152340	1153400	poi li metto insieme
1153400	1154560	li faccio diventare
1154560	1155460	delle descrizioni
1155460	1156900	poi li faccio diventare
1156900	1157380	memoria
1157380	1158400	oppure li puoi buttare via
1158400	1159140	normalmente
1159140	1160140	una volta in memoria
1160140	1160880	posso decidere
1160880	1162200	se quello che vede
1162200	1162860	è vero o falso
1162860	1163740	e faccio ragionamento
1163740	1165060	ok?
1167500	1168620	in ogni passo
1168620	1169540	ci sono sempre
1169540	1170760	due aspetti
1170760	1171220	che noi andremo
1171220	1171880	a formalizzare
1171880	1172840	matematicamente
1172840	1174260	e che si possono
1174260	1174900	formalizzare
1174900	1175600	in algoritmi
1175600	1177100	che è
1177100	1179320	astrarre
1179320	1181720	dal livello inferiore
1181720	1183900	dalla rappresentazione
1183900	1184700	di livello inferiore
1184700	1185600	più vicino al mondo
1185600	1187360	quello che abbiamo
1187360	1188600	percepito
1188600	1189020	perché qui
1189020	1189460	chiaramente
1189460	1190080	c'è percezione
1190080	1190700	da qua a qua
1190700	1191460	ma anche da qui
1191460	1191720	a qui
1191720	1192320	in ogni passo
1192320	1192880	c'è un passo
1192880	1193620	di lift up
1193620	1195720	della rappresentazione
1195720	1196320	e poi
1196320	1197420	a un certo livello
1197420	1198220	li mettiamo insieme
1198220	1199220	ovviamente
1199220	1201200	queste composizioni
1201200	1201640	qui
1201640	1202680	in logica
1202680	1203180	ma anche
1203180	1203660	degli algoritmi
1203660	1203940	che abbiamo fatto
1203940	1204500	fino adesso
1204500	1206040	sono tali per cui
1206040	1206620	se qui fai
1206620	1207520	una composizione
1207520	1209120	devi essere sicuro
1209120	1209680	che vale anche
1209680	1210220	per qua
1210220	1211800	ed è esattamente
1211800	1212080	questo
1212080	1212840	che stiamo facendo
1212840	1213840	questo implicitamente
1213840	1214500	lo avete fatto
1214500	1214960	quando abbiamo fatto
1214960	1215580	fare lì a modo
1215580	1216300	vi tornava tutto
1216300	1216660	perché
1216660	1217400	e perché in qualche
1217400	1217840	maniera
1217840	1219140	il dettavese
1219140	1219680	bene o male
1219680	1220420	non ve l'ha detto
1220420	1221640	ma funzionava
1221640	1223000	adesso dimostriamo
1223000	1223680	esattamente
1223680	1225160	perché dimostrava
1225160	1225520	in più
1225520	1226000	diamo
1226000	1226760	possiamo vedere
1226760	1227240	come tutta
1227240	1227840	una roba lì
1227840	1228260	era un caso
1228260	1228900	particolare
1228900	1229420	gli algoritmi
1229420	1230640	generali
1230640	1232580	di ragionamento
1232580	1236020	dove in ogni fase
1236020	1237440	è come se tu
1237440	1238280	osservassi
1238280	1239100	il mondo esterno
1239100	1239580	è come se
1239580	1240500	a livello dei concetti
1240500	1241020	osservassi
1241020	1241940	il livello dei percetti
1241940	1243240	o comunque facessi
