start	end	text
965000	967000	per formalizzare
967000	969000	quello che io percepisco
969000	971000	io da più in poi
971000	973000	faccio tutta matematica
973000	974000	e
974000	975000	data questa percezione
975000	976000	posso costruire
976000	978000	teoremi di capitezza
978000	979000	puretezza
979000	980000	se è la
980000	981000	possibilità
981000	982000	computazionale
982000	983000	questo
983000	984000	è quello che si chiama
984000	985000	semantica
987000	988000	l'eleito
988000	989000	muova
989000	990000	dall'odio
990000	991000	di fatto
991000	992000	di darmi una semantica
992000	993000	formale
993000	994000	tutto quello che avete fatto
994000	995000	fino adesso
995000	996000	lo rifacciamo
996000	997000	lo rifacciamo in un probabilismo
997000	998000	leggermente diverso
998000	999000	esercitazione
999000	1000000	vedrete
1000000	1001000	che di fatto
1001000	1003000	stiamo facendo la stessa cosa
1003000	1004000	con la differenza
1004000	1005000	che per ognuno
1005000	1006000	di questi passi
1006000	1007000	vi mostreremo
1007000	1008000	che il passo
1008000	1009000	che facciamo sopra
1009000	1010000	mi mantiene
1010000	1011000	la semantica
1011000	1012000	di quello che vedo
1012000	1013000	se qui
1013000	1014000	una cosa
1014000	1015000	era così
1015000	1016000	qua sopra
1016000	1017000	se deduco
1017000	1018000	nuovi fatti
1018000	1019000	non posso che
1019000	1020000	essere capire
1020000	1021000	l'interescrizione
1021000	1022000	bene?
1022000	1027000	e
1027000	1028000	è
1028000	1029000	la ripresa
1029000	1030000	ecco
1030000	1031000	aggiunto adesso
1031000	1032000	ho aggiunto
1032000	1033000	il fatto
1033000	1034000	che io
1034000	1035000	dall'elemento
1035000	1036000	dei dati
1036000	1037000	percepisci
1037000	1038000	i percetti
1038000	1039000	ma poi
1039000	1040000	dopo
1040000	1041000	mettendo vicino
1041000	1042000	faccio le percetturite impresse
1042000	1043000	ma prendo
1043000	1044000	dei
1044000	1045000	delle
1045000	1046000	facciamo
1046000	1047000	delle
1047000	1048000	linguistiche
1048000	1049000	ma poi le metto
1049000	1050000	queste qua
1050000	1051000	con la memoria
1051000	1052000	oggettivo
1052000	1053000	vero o falso
1053000	1054000	poi le metti
1054000	1055000	insieme
1055000	1056000	con quello
1056000	1057000	che è solo
1057000	1058000	vero o falso
1058000	1059000	cioè ogni passo
1059000	1060000	che è sempre
1060000	1061000	un passo
1061000	1062000	di lifting
1062000	1063000	e poi
1063000	1064000	ogni livello
1064000	1065000	delle operazioni
1065000	1066000	quella roba
1066000	1067000	che vi ho dato
1067000	1068000	non è che
1068000	1069000	è un'operazione
1069000	1070000	matematica
1070000	1071000	neppure
1071000	1072000	avete visto
1072000	1073000	100 volte
1073000	1074000	giusto no?
1074000	1075000	l'iveness
1075000	1076000	degli algoritmi
1076000	1077000	sta qua
1077000	1078000	fateci
1078000	1079000	algoritmo
1079000	1080000	esiste
1080000	1081000	una deduzione
1081000	1082000	logica
1082000	1083000	che deduce
1083000	1084000	il sarò
1084000	1085000	ok?
1085000	1086000	quindi quello
1086000	1087000	che voi avete
1087000	1088000	quando voi avete fatto
1088000	1089000	IR model
1089000	1090000	e così via
1090000	1091000	che cos'è che vi hanno dato?
1091000	1092000	vi hanno dato
1092000	1093000	tutte queste
1093000	1094000	formule
1094000	1095000	tutte queste
1095000	1096000	rappresentazioni
1096000	1097000	intermedie
1099000	1100000	non vi hanno detto
1100000	1101000	a che cosa
1101000	1102000	mi scrivevano
1102000	1103000	e poi vi hanno detto
1103000	1104000	ah si certo
1104000	1105000	pronto di IR model
1105000	1106000	lo prendi
1106000	1107000	per evitare
1107000	1108000	una classe
1108000	1109000	un oggetto
1109000	1110000	e così via
1110000	1112000	e poi
1112000	1113000	quello è
1113000	1114000	ok?
1114000	1117000	infatti
1117000	1118000	questa
1118000	1119000	la chiamano
1119000	1120000	la piramide
1120000	1121000	da conoscita
1121000	1122000	è esattamente
1122000	1123000	quella di prima
1123000	1124000	dove abbiamo messo
1124000	1125000	in evidenza
1125000	1126000	sulla piramide
1126000	1127000	dove la piramide
1127000	1128000	ha significato
1128000	1129000	di distrazione
1129000	1130000	da percezione
1130000	1132000	ci sono i dati nel mondo
1132000	1133000	i dati nel mondo
1133000	1134000	sono tantissimi
1134000	1135000	e noi
1135000	1136000	cosa che facciamo
1136000	1137000	con la vista?
1137000	1138000	ne scegliamo un po'
1138000	1139000	quelli che ci interessano
1139000	1140000	li seleziamo
1140000	1141000	e ci facciamo questi dati
1141000	1142000	questi dati selezionati
1142000	1143000	li clicchiamo alla vista
1143000	1144000	e diventano
1144000	1145000	e li metto
1145000	1146000	la mia memoria
1146000	1147000	subconscia
1147000	1148000	li prendo
1148000	1149000	li faccio diventare
1149000	1150000	parole
1150000	1152000	la parole
1152000	1153000	poi le metto insieme
1153000	1154000	mi faccio diventare
1154000	1155000	delle descrizioni
1155000	1156000	poi le faccio diventare
1156000	1157000	memoria
1157000	1158000	oppure le puoi buttare via
1158000	1159000	normalmente
1159000	1160000	e una volta fatto il memoria
1160000	1161000	posso decidere
1161000	1162000	se quello che vedo
1162000	1163000	è vero
1163000	1164000	o alzo
1164000	1165000	e fatto un ragionamento
1165000	1167000	ok?
1167000	1168000	in ogni passo
1168000	1169000	ci sono sempre
1169000	1170000	due aspetti
1170000	1171000	che noi andiamo
1171000	1172000	a formalizzare
1172000	1173000	matematicamente
1173000	1174000	e che si possono
1174000	1175000	formalizzare
1175000	1176000	in algoritmi
1176000	1178000	che è
1178000	1180000	a strabre
1180000	1182000	dal livello inferiore
1182000	1183000	dalla percezione
1183000	1184000	dal livello inferiore
1184000	1186000	più vicino al mondo
1186000	1187000	quello che abbiamo
1187000	1188000	percepito
1188000	1189000	perché qui
1189000	1190000	chiaramente
1190000	1191000	c'è percezione
1191000	1192000	da qua a qua
1192000	1193000	ma anche da qui a qui
1193000	1194000	in ogni passo
1194000	1195000	c'è un passo di liftà
1195000	1196000	della rappresentazione
1196000	1197000	e poi
1197000	1198000	a un certo livello
1198000	1199000	li mettiamo in sì
1199000	1200000	ovviamente
1200000	1201000	queste composizioni
1201000	1202000	qui
1202000	1203000	in l'otica
1203000	1204000	ma anche
1204000	1205000	degli algoritmi
1205000	1206000	sono tali per cui
1206000	1208000	se qui fai una composizione
1208000	1209000	devi essere sicuro
1209000	1210000	che vale anche per qua
1210000	1211000	ed è esattamente
1211000	1212000	questo
1212000	1213000	che stiamo facendo
1213000	1214000	questo
1214000	1216000	perché
1216000	1217000	vi tornava tutto
1217000	1218000	perché
1218000	1219000	perché in qualche maniera
1219000	1220000	il database
1220000	1221000	non ve l'hanno detto
1221000	1222000	ma funzionava
1222000	1223000	adesso lo dimostrava
1223000	1224000	esattamente
1224000	1225000	perché dimostrava
1225000	1226000	in più
1226000	1227000	possiamo vedere
1227000	1228000	come tutta una roba lì
1228000	1229000	un caso particolare
1229000	1230000	di algoritmi generali
1230000	1231000	di
1231000	1233000	ragionamento
1233000	1235000	dove
1235000	1236000	in ogni fase
1236000	1237000	è come se tu
1237000	1238000	osservassi
1238000	1239000	il mondo esterno
1239000	1240000	è come se
1240000	1241000	il livello dei concetti
1241000	1242000	osservassi il livello dei percetti
1242000	1243000	o comunque
1243000	1244000	ma ci sono delle quiri
1244000	1245000	come esattamente
1245000	1246000	i percetti
1246000	1247000	fanno le quiri al mondo
1247000	1248000	perché tu
1248000	1249000	in qualche maniera
1249000	1250000	quando guardi
1250000	1251000	fai una quiri
1251000	1252000	a quello che vedi
1252000	1253000	ti scegli cosa vedere
1253000	1254000	e poi sopra
1254000	1255000	pari
1255000	1256000	c'è un inchiato
1256000	1257000	questo progetto
1257000	1258000	di composizione
1258000	1259000	che vuol dire
1259000	1260000	date delle cose
1260000	1262000	ok
1262000	1263000	domande
1271000	1273000	e pensi alla piramide delle otte
1278000	1279000	tutto il corso
1279000	1280000	si baserà
1280000	1281000	su spiegarvi
1281000	1283000	queste quattro cose qua
1283000	1284000	chiaramente
1284000	1285000	a fare models
1285000	1286000	che è più facile
1286000	1287000	ci mettiamo le lezioni
1287000	1289000	a fare world models
1289000	1290000	ci mettiamo
1290000	1291000	1,5
1291000	1292000	2
1292000	1293000	a fare world large
1293000	1294000	ci mettiamo 7
1294000	1295000	8
1295000	1296000	a fare più le più estratte
1296000	1297000	che dove sotto gli algoritmi
1297000	1298000	ci mettiamo magari
1298000	1299000	10 o 15
1299000	1300000	perché chiaramente
1300000	1301000	più ti astrai
1301000	1303000	e più
1303000	1304000	sei estratto
1304000	1305000	di più hai forte
1305000	1306000	di evoluzione
1306000	1307000	di fatto
1307000	1308000	l'obiettivo
1308000	1309000	di questa lezione
1309000	1310000	è che
1310000	1311000	in qualche maniera
1311000	1312000	vi sto dando l'indice
1312000	1314000	di quello che stiamo
1314000	1316000	facendo
1316000	1317000	e anche l'indice
1317000	1318000	delle logiche
1318000	1319000	di fatto
1319000	1320000	il compitino arriverà
1320000	1321000	qua
1321000	1322000	il primo compitino
1322000	1323000	il secondo compitino
1323000	1324000	sarà quattro
1324000	1325000	chiaramente
1325000	1326000	l'ultima è quella più
1326000	1328000	questa è la vittima
1328000	1330000	ovviamente
1330000	1332000	quello che vedremo
1332000	1335000	è che
1335000	1336000	uno dice
1336000	1337000	ah bello
1337000	1338000	c'è un unico world model
1338000	1339000	un'unica world logic
1339000	1340000	no non ce l'hai uno
1340000	1341000	perché a seconda di quello che vedi
1341000	1342000	vedi
1342000	1343000	a seconda di quello che
1343000	1344000	devo vedere
1344000	1345000	è una logica diversa
1345000	1346000	vedo l'area
1346000	1347000	la sequenza temporale
1347000	1348000	il ragionamento
1348000	1349000	ragionare
1349000	1350000	sulla sequenza temporale
1350000	1351000	di azioni
1351000	1353000	è un problema diverso
1353000	1355000	da capire
1355000	1356000	se il numero
1356000	1357000	per il piatto
1357000	1358000	è solo consistente
1358000	1359000	così via
1359000	1364000	io non sto dicendo
1364000	1365000	che ad ogni livello
1365000	1366000	c'è una sola logica
1366000	1368000	l'unica cosa che sto dicendo
1368000	1369000	è che questo
1369000	1370000	è universale
1370000	1371000	per tutte le logiche
1371000	1372000	tutte
1372000	1374000	esiste
1374000	1375000	esiste
1375000	1376000	un meccanismo
1376000	1377000	universale
1377000	1378000	che lo descriveremo in dettaglio
1378000	1379000	domani
1379000	1380000	che è l'attore dell'insieme
1380000	1381000	che è universale
1381000	1382000	ma da qui in poi
1382000	1383000	a seconda di come
1383000	1384000	noi mettiamo insieme
1384000	1385000	insieme
1385000	1386000	avremo
1386000	1387000	diverse logiche
1387000	1388000	ma queste saranno sempre
1388000	1389000	solo
1389000	1390000	strutturate
1390000	1391000	tra i livelli
1391000	1392000	ok
1392000	1393000	cioè
1393000	1394000	prima
1394000	1395000	diamo i nomi alle cose
1395000	1396000	l'alfabeto
1396000	1397000	che l'ho fatto vedere
1397000	1398000	n volte
1398000	1399000	poi
1399000	1400000	costruiamo una memoria
1400000	1401000	e poi ragioniamo
1401000	1402000	sulla memoria
1402000	1403000	su quello che sapeva
1403000	1404000	e quello che non sapeva
1409000	1410000	quindi
1410000	1411000	queste a fianco
1411000	1412000	sono anticipazioni
1412000	1413000	di un altro minuto
1413000	1414000	spero
1414000	1415000	non sedete
1415000	1416000	l'abbiate
1416000	1417000	testa
1417000	1418000	al momento
1418000	1419000	ma
1419000	1420000	era importante
1420000	1421000	darvi un anticipo
1421000	1422000	in modo che
1422000	1423000	creare l'inflario
1423000	1424000	perché
1424000	1425000	in qualche maniera
1425000	1426000	vi da un'idea
1426000	1427000	la cosa interessante
1427000	1428000	qui abbiamo letto
1428000	1429000	percetti e percezioni
1429000	1430000	dove le percezioni
1430000	1431000	sono
1431000	1432000	composizioni
1432000	1433000	di percezioni
1433000	1434000	cioè
1434000	1435000	come ho detto prima
1435000	1436000	e queste cose qua
1436000	1437000	le facciamo mettere
1437000	1438000	delle concettualizzazioni
1438000	1439000	che sono linguistiche
1439000	1440000	e qui guarda
1440000	1441000	prendiamo delle assezioni
1441000	1442000	che le ritengono insieme
1442000	1443000	e diventano
1443000	1444000	gratis di conoscenza
1444000	1446000	o diventano
1446000	1447000	un database
1447000	1448000	il database
1448000	1449000	sta qua
1449000	1451000	il model
1451000	1452000	sta qua
1452000	1453000	il word
1453000	1454000	che l'avete visto
1454000	1455000	sta qua
1455000	1458000	poi chiaramente
1458000	1459000	quando avete fatto
1459000	1460000	SQL
1460000	1461000	database 1
1461000	1462000	non me l'hanno detto
1462000	1463000	che c'è il problema
1463000	1464000	del linguaggio
1464000	1467000	in realtà
1467000	1469000	in realtà
1469000	1470000	va bene
1470000	1471000	perché
1471000	1472000	per quello che vogliamo fare
